voter,position,book,author,top100
"Carson, Jan",10,The End of the Affair,"Greene, Graham",TRUE
"de Waal, Kit",5,The End of the Affair,"Greene, Graham",TRUE
"Leith, Sam",4,The End of the Affair,"Greene, Graham",TRUE
"Mackintosh, Sophie",8,The End of the Affair,"Greene, Graham",TRUE
"Haig, Matt",4,The Power and the Glory,"Greene, Graham",FALSE
"Harvey, Samantha",7,The Power and the Glory,"Greene, Graham",FALSE
"Kehlmann, Daniel",9,Simplicissimus,"Grimmelshausen, Hans Jakob Christoffel von",FALSE
"Haddon, Mark",9,Matrix,"Groff, Lauren",FALSE
"Gay, Roxane",10,Matrix,"Groff, Lauren",FALSE
"Needham, Alex",1,Life and Fate,"Grossman, Vasily",TRUE
"Sands, Philippe",4,Life and Fate,"Grossman, Vasily",TRUE
"Bakewell, Sarah",5,Life and Fate,"Grossman, Vasily",TRUE
"Mengiste, Maaza",3,Afterlives,"Gurnah, Abdulrazak",FALSE
"Sands, Philippe",9,Afterlives,"Gurnah, Abdulrazak",FALSE
"Mohamed, Nadifa",7,By the Sea,"Gurnah, Abdulrazak",FALSE
"Diop, David",8,Paradise,"Gurnah, Abdulrazak",FALSE
"Dawoor, Yagnishsing",8,Paradise,"Gurnah, Abdulrazak",FALSE
"Shukla, Nikesh",10,Exit West,"Hamid, Mohsin",FALSE
"Myers, Benjamin",10,The Slaves of Solitude,"Hamilton, Patrick",FALSE
"Smith, PD",5,The Maltese Falcon,"Hammett, Dashiell",FALSE
"Myers, Benjamin",2,Hunger,"Hamsun, Knut",FALSE
"Obioma, Chigozie",2,Hunger,"Hamsun, Knut",FALSE
"Jaggi, Maya",10,Eighth Life,"Haratischvili, Nino",FALSE
"Williams, Imogen Russell",3,The Lie Tree,"Hardinge, Frances",FALSE
"Power, Chris",9,Jude the Obscure,"Hardy, Thomas",TRUE
"Stuart, Douglas",2,Jude the Obscure,"Hardy, Thomas",TRUE
"Goddard, Kieran",6,Jude the Obscure,"Hardy, Thomas",TRUE
"Sandhu, Sukhdev",3,Jude the Obscure,"Hardy, Thomas",TRUE
"Mullan, John",9,Tess of the D'urbervilles,"Hardy, Thomas",FALSE
"Harvey, Samantha",4,Tess of the D'urbervilles,"Hardy, Thomas",FALSE
"Harris, Alexandra",3,The Return of the Native,"Hardy, Thomas",TRUE
"Shariatmadari, David",5,The Return of the Native,"Hardy, Thomas",TRUE
"Cook, Jude",4,The Return of the Native,"Hardy, Thomas",TRUE
"Edemariam, Aida",3,The Go-Between,"Hartley, LP",FALSE
"Clark, Clare",7,The Go-Between,"Hartley, LP",FALSE
"Shariatmadari, David",4,The Go-Between,"Hartley, LP",FALSE
"Markovits, Ben",1,The Scarlet Letter,"Hawthorne, Nathaniel",FALSE
"Hustvedt, Siri",7,The Scarlet Letter,"Hawthorne, Nathaniel",FALSE
"Mendelson, Charlotte",7,The Transit of Venus,"Hazzard, Shirley",TRUE
"Nicholls, David",10,The Transit of Venus,"Hazzard, Shirley",TRUE
"Edugyan, Esi",9,The Transit of Venus,"Hazzard, Shirley",TRUE
"Dyer, Geoff",7,The Transit of Venus,"Hazzard, Shirley",TRUE
"King, Lily",10,The Transit of Venus,"Hazzard, Shirley",TRUE
"Li, Yiyun",8,The Transit of Venus,"Hazzard, Shirley",TRUE
"Rose, Jacqueline",10,A Question of Power,"Head, Bessie",FALSE
"Saniee, Parinoush",10,The Blind Owl,"Hedayat, Sadegh",FALSE
"Jordan, Justine",10,Catch-22,"Heller, Joseph",TRUE
"Rosoff, Meg",1,Catch-22,"Heller, Joseph",TRUE
"Cain, Sian",3,Catch-22,"Heller, Joseph",TRUE
"Self, John",1,Something Happened,"Heller, Joseph",FALSE
"Soueif, Ahdaf",9,A Farewell to Arms,"Hemingway, Ernest",TRUE
"Kent, Christobel",5,A Farewell to Arms,"Hemingway, Ernest",TRUE
"Poole, Steven",7,A Farewell to Arms,"Hemingway, Ernest",TRUE
"Li, Yiyun",6,A Farewell to Arms,"Hemingway, Ernest",TRUE
"Tóibín, Colm",9,The Sun Also Rises,"Hemingway, Ernest",FALSE
"Kushner, Rachel",8,The Sun Also Rises,"Hemingway, Ernest",FALSE
"Haig, Matt",9,Siddhartha,"Hesse, Hermann",FALSE
"Saniee, Parinoush",9,Siddhartha,"Hesse, Hermann",FALSE
"Dunthorne, Joe",6,The Talented Mr Ripley,"Highsmith, Patricia",TRUE
"Allan, Nina",10,The Talented Mr Ripley,"Highsmith, Patricia",TRUE
"Laing, Olivia",10,The Talented Mr Ripley,"Highsmith, Patricia",TRUE
"Osman, Richard",2,The Talented Mr Ripley,"Highsmith, Patricia",TRUE
"Stuart, Douglas",5,A Kestrel for a Knave,"Hines, Barry",FALSE
"Haig, Matt",3,The Outsiders,"Hinton, S. E.",FALSE
"Murata, Sayaka",4,Record of a Night Too Brief,"Hiromi, Kawakami",FALSE
"Spencer, Liese",9,Riddley Walker,"Hoban, Russell",FALSE
"Laing, Olivia",8,Riddley Walker,"Hoban, Russell",FALSE
"Harrison, M. John",1,House on the Borderland,"Hodgson, William Hope",FALSE
"Johnson, Daisy",1,Miss Smilla's Feeling for Snow,"Høeg, Peter",FALSE
"O’Farrell, Maggie",10,The Private Memoirs and Confessions of a Justified Sinner,"Hogg, James",FALSE
"Needham, Alex",4,The Line of Beauty,"Hollinghurst, Alan",TRUE
"Lynskey, Dorian",9,The Line of Beauty,"Hollinghurst, Alan",TRUE
"Stuart, Douglas",6,The Line of Beauty,"Hollinghurst, Alan",TRUE
"Sands, Philippe",10,The Line of Beauty,"Hollinghurst, Alan",TRUE
"Day, Jon",10,The Swimming-Pool Library,"Hollinghurst, Alan",FALSE
"Younis, Nussaibah",9,A Long Way Down,"Hornby, Nick",FALSE
"Anam, Tahmima",8,Sultana's Dream,"Hossain, Rokeya Sakhawat",FALSE
"Knapp, Florence",4,A Thousand Splendid Suns,"Hosseini, Khaled",FALSE
"Day, Elizabeth",10,The Light Years,"Howard, Elizabeth Jane",FALSE
"Rosoff, Meg",10,The Long View,"Howard, Elizabeth Jane",FALSE
"Thirlwell, Adam",6,I Served the King of England,"Hrabal, Bohumil",FALSE
"Mabanckou, Alain",3,Too Loud a Solitude,"Hrabal, Bohumil",FALSE
"Sandhu, Sukhdev",8,Too Loud a Solitude,"Hrabal, Bohumil",FALSE
"Rosoff, Meg",2,A High Wind in Jamaica,"Hughes, Richard",FALSE
"Kuang, RF",4,Les Misérables,"Hugo, Victor",FALSE
"Crewe, Tom",8,Les Misérables,"Hugo, Victor",FALSE
"Elkin, Lauren",8,Notre Dame De Paris,"Hugo, Victor",FALSE
"Harvey, Samantha",8,The Hunchback of Notre-Dame,"Hugo, Victor",FALSE
"Evaristo, Bernardine",5,The Bone People,"Hulme, Keri",FALSE
"Johnson, Daisy",4,The Bone People,"Hulme, Keri",FALSE
"Evaristo, Bernardine",9,Their Eyes Were Watching God,"Hurston, Zora Neale",TRUE
"Barr, Damian",9,Their Eyes Were Watching God,"Hurston, Zora Neale",TRUE
"Creamer, Ella",5,Their Eyes Were Watching God,"Hurston, Zora Neale",TRUE
"Loffhagen, Emma",5,Their Eyes Were Watching God,"Hurston, Zora Neale",TRUE
"Rose, Jacqueline",9,Their Eyes Were Watching God,"Hurston, Zora Neale",TRUE
"Feigel, Lara",9,Their Eyes Were Watching God,"Hurston, Zora Neale",TRUE
"Shukla, Nikesh",5,Their Eyes Were Watching God,"Hurston, Zora Neale",TRUE
"Gleeson, Sinéad",3,Their Eyes Were Watching God,"Hurston, Zora Neale",TRUE
"Cohen, Joshua",8,Point Counter Point,"Huxley, Aldous",FALSE
